epoch,train_loss,train_acc,test_loss,test_acc,lr
1,2.8056,15.62,1.9765,25.73,0.040000
2,1.7026,36.13,1.4913,44.52,0.060000
3,1.3935,49.37,1.2683,54.94,0.080000
4,1.1251,59.39,1.2774,56.86,0.100000
5,0.9083,67.85,1.0004,67.18,0.100000
6,0.7191,74.88,1.0403,68.94,0.099966
7,0.5956,79.40,0.6634,77.74,0.099863
8,0.5115,82.33,0.5597,81.07,0.099693
9,0.4563,84.39,0.5903,80.17,0.099455
10,0.4144,85.70,0.4723,84.58,0.099149
11,0.3718,87.16,0.4909,84.09,0.098776
12,0.3431,88.11,0.4198,85.71,0.098336
13,0.3168,89.09,0.4331,85.91,0.097830
14,0.2915,90.03,0.4968,84.57,0.097259
15,0.2761,90.44,0.4404,85.83,0.096624
16,0.2549,91.10,0.4205,86.31,0.095924
17,0.2435,91.56,0.4512,85.92,0.095162
18,0.2268,92.10,0.4204,87.38,0.094339
19,0.2120,92.66,0.4063,87.10,0.093454
20,0.1987,93.15,0.4166,87.17,0.092511
21,0.1886,93.52,0.4421,86.97,0.091509
22,0.1816,93.68,0.4420,86.39,0.090451
23,0.1679,94.14,0.4565,86.74,0.089337
24,0.1608,94.31,0.3890,89.02,0.088170
25,0.1473,94.93,0.3887,88.74,0.086950
26,0.1439,94.91,0.3688,88.99,0.085681
27,0.1396,95.05,0.3475,89.83,0.084362
28,0.1262,95.56,0.4851,86.76,0.082996
29,0.1260,95.62,0.3817,89.36,0.081586
30,0.1152,96.00,0.4726,87.93,0.080132
31,0.1126,96.11,0.4120,88.52,0.078637
32,0.1090,96.12,0.4213,88.92,0.077103
33,0.1006,96.56,0.3947,89.62,0.075532
34,0.0963,96.66,0.3763,89.26,0.073926
35,0.0886,97.01,0.4902,87.98,0.072287
36,0.0858,96.98,0.3753,90.15,0.070618
37,0.0846,97.08,0.3982,90.09,0.068921
38,0.0790,97.16,0.4088,90.14,0.067197
39,0.0742,97.45,0.4033,90.72,0.065451
40,0.0720,97.42,0.3905,90.31,0.063683
41,0.0668,97.71,0.4418,90.37,0.061897
42,0.0597,97.81,0.4839,89.04,0.060094
43,0.0614,97.92,0.4079,90.64,0.058278
44,0.0523,98.19,0.3748,91.72,0.056450
45,0.0510,98.25,0.3887,90.74,0.054613
46,0.0508,98.23,0.3468,91.54,0.052771
47,0.0421,98.46,0.4139,91.49,0.050924
48,0.0408,98.60,0.3636,91.66,0.049076
49,0.0347,98.77,0.4093,91.53,0.047229
50,0.0360,98.76,0.3986,91.69,0.045387
51,0.0338,98.79,0.4551,90.66,0.043550
52,0.0302,98.95,0.4070,91.17,0.041722
53,0.0261,99.11,0.4157,91.43,0.039906
54,0.0248,99.14,0.3811,92.19,0.038103
55,0.0224,99.22,0.3919,92.37,0.036317
56,0.0202,99.29,0.3832,92.55,0.034549
57,0.0178,99.43,0.4156,92.34,0.032803
58,0.0148,99.47,0.4192,92.36,0.031079
59,0.0146,99.48,0.4090,92.52,0.029382
60,0.0133,99.54,0.3936,92.75,0.027713
61,0.0099,99.66,0.3876,92.80,0.026074
62,0.0086,99.70,0.4130,92.91,0.024468
63,0.0086,99.72,0.4060,92.87,0.022897
64,0.0068,99.77,0.3998,92.65,0.021363
65,0.0060,99.79,0.4038,93.11,0.019868
66,0.0042,99.86,0.3919,93.37,0.018414
67,0.0034,99.88,0.3949,93.24,0.017004
68,0.0028,99.91,0.4044,93.45,0.015638
69,0.0024,99.93,0.3913,93.39,0.014319
70,0.0020,99.94,0.4012,93.36,0.013050
71,0.0019,99.94,0.3864,93.55,0.011830
72,0.0015,99.95,0.3825,93.58,0.010663
73,0.0011,99.97,0.3868,93.59,0.009549
74,0.0012,99.96,0.3884,93.77,0.008491
75,0.0011,99.97,0.3893,93.59,0.007489
76,0.0011,99.97,0.3856,93.67,0.006546
77,0.0007,99.98,0.3875,93.66,0.005661
78,0.0007,99.99,0.3833,93.68,0.004838
79,0.0009,99.98,0.3832,93.65,0.004076
80,0.0006,99.99,0.3847,93.67,0.003376
81,0.0008,99.98,0.3830,93.55,0.002741
82,0.0007,99.98,0.3879,93.52,0.002170
83,0.0007,99.99,0.3862,93.61,0.001664
84,0.0006,99.98,0.3865,93.55,0.001224
85,0.0008,99.98,0.3871,93.72,0.000851
86,0.0005,99.99,0.3869,93.62,0.000545
87,0.0005,99.99,0.3884,93.64,0.000307
88,0.0006,99.99,0.3849,93.65,0.000137
89,0.0006,99.99,0.3868,93.67,0.000034
90,0.0006,99.98,0.3865,93.66,0.000000
