epoch,train_acc,test_acc
1,59.65,64.47
2,65.86,66.23
3,67.05,66.92
4,67.90,67.51
5,68.60,67.84
6,69.07,68.44
7,69.46,68.53
8,69.68,68.36
9,69.95,68.92
10,70.35,69.41
11,70.58,69.40
12,70.65,69.82
13,70.84,69.90
14,70.82,69.86
15,71.23,70.16
16,71.32,70.51
17,71.60,70.34
18,71.57,70.55
19,71.72,70.73
20,71.71,70.90
21,71.74,71.15
22,71.94,71.29
23,72.03,71.30
24,72.13,71.39
25,72.27,70.79
26,72.20,71.13
27,72.37,71.40
28,72.44,71.10
29,72.57,70.96
30,72.63,71.68
31,72.68,72.09
32,72.66,71.85
33,72.85,71.69
34,72.80,71.95
35,72.92,71.60
36,72.96,71.81
37,72.86,71.60
38,72.89,71.73
39,73.15,71.63
40,73.18,71.99
41,73.35,71.92
42,73.22,71.81
43,73.26,72.33
44,73.22,72.44
45,73.47,72.32
46,73.48,72.20
47,73.52,72.07
48,73.55,72.21
49,73.66,72.56
50,73.60,72.14
