epoch,loss,lr,time
1,4.657582,0.00010000,73.77
2,4.257699,0.00020000,76.61
3,4.171030,0.00030000,75.46
4,4.110869,0.00029745,69.76
5,4.063555,0.00028987,69.16
6,4.022136,0.00027753,67.98
7,3.999326,0.00026085,71.62
8,3.978988,0.00024040,73.42
9,3.960123,0.00021686,65.94
10,3.942091,0.00019105,70.11
11,3.928884,0.00016384,75.51
12,3.915925,0.00013616,71.06
13,3.906234,0.00010895,76.16
14,3.898365,0.00008314,68.07
15,3.888231,0.00005960,68.64
16,3.879223,0.00003915,59.23
17,3.874096,0.00002247,62.08
18,3.868890,0.00001013,56.24
19,3.868140,0.00000255,45.86
20,3.867055,0.00000000,59.43
