epoch,loss,lr,time_s
1,5.371075,0.00587629,50.28
2,5.065167,0.01187629,36.28
3,5.037517,0.01787629,36.25
4,5.023364,0.02387629,36.25
5,5.014105,0.02987629,36.25
6,5.005793,0.03587629,36.21
7,4.999488,0.04187629,36.25
8,4.994245,0.04787629,36.26
9,4.990766,0.05387629,36.20
10,4.986747,0.05987629,36.23
11,4.983827,0.05999607,36.22
12,4.979969,0.05998393,36.19
13,4.977472,0.05996360,36.22
14,4.975463,0.05993508,36.23
15,4.973952,0.05989838,36.20
16,4.972107,0.05985350,36.19
17,4.971149,0.05980046,36.20
18,4.969769,0.05973927,36.19
19,4.969228,0.05966995,36.18
20,4.967621,0.05959252,36.19
21,4.966853,0.05950792,36.19
22,4.966531,0.05941442,36.20
23,4.965923,0.05931287,36.20
24,4.965817,0.05920331,36.19
25,4.965080,0.05908577,36.50
26,4.964806,0.05896028,36.18
27,4.964359,0.05882686,36.19
28,4.964202,0.05868557,36.18
29,4.963747,0.05853643,36.18
30,4.963239,0.05837949,36.20
31,4.962937,0.05821480,36.17
32,4.963139,0.05804239,36.17
33,4.962335,0.05786231,36.17
34,4.961839,0.05767462,36.18
35,4.961361,0.05747936,36.16
36,4.961368,0.05727659,36.16
37,4.960996,0.05706636,36.18
38,4.960759,0.05684873,36.19
39,4.960656,0.05662376,36.17
40,4.960465,0.05639151,36.18
41,4.960332,0.05615205,36.18
42,4.960441,0.05590801,36.18
43,4.960348,0.05565439,36.20
44,4.959872,0.05539375,36.21
45,4.959972,0.05512618,36.19
46,4.959989,0.05485173,36.19
47,4.959461,0.05457049,36.20
48,4.959430,0.05428253,36.20
49,4.959401,0.05398793,36.19
50,4.958978,0.05368677,36.19
51,4.958824,0.05337914,36.21
52,4.958641,0.05306512,36.18
53,4.958891,0.05274479,36.19
54,4.958866,0.05241824,36.22
55,4.958986,0.05208557,36.18
56,4.958247,0.05174685,36.19
57,4.958577,0.05140219,36.19
58,4.958289,0.05105168,36.20
59,4.958182,0.05069542,36.18
60,4.957775,0.05033349,36.20
61,4.957869,0.04996601,36.17
