epoch,loss,lr,time_s
1,5.320831,0.00593814,57.65
2,5.057559,0.01193814,37.84
3,5.027968,0.01793814,38.01
4,5.012951,0.02393814,38.50
5,5.000834,0.02993814,36.95
6,4.992352,0.03593814,37.43
7,4.985784,0.04193814,37.42
8,4.980768,0.04793814,37.52
9,4.975909,0.05393814,37.23
10,4.972902,0.05993814,36.54
11,4.969634,0.05999598,36.12
12,4.966424,0.05998377,36.13
13,4.964292,0.05996335,36.10
14,4.962073,0.05993475,36.11
15,4.961235,0.05989796,36.08
16,4.959952,0.05985299,36.11
17,4.958236,0.05979987,36.10
18,4.957590,0.05973860,36.10
19,4.956418,0.05966919,36.09
20,4.955600,0.05959168,36.10
21,4.955252,0.05950700,36.09
22,4.954597,0.05941341,36.11
23,4.954206,0.05931178,36.11
24,4.953922,0.05920214,36.11
25,4.953616,0.05908452,36.39
26,4.953618,0.05895894,36.11
27,4.953434,0.05882545,36.09
28,4.953354,0.05868407,36.09
29,4.953408,0.05853485,36.09
30,4.953155,0.05837784,36.09
31,4.952787,0.05821306,36.15
32,4.952751,0.05804057,36.08
33,4.952808,0.05786042,36.11
34,4.952844,0.05767264,36.08
35,4.952543,0.05747731,36.08
36,4.952683,0.05727446,36.07
37,4.952555,0.05706415,36.10
38,4.952363,0.05684645,36.07
39,4.952396,0.05662140,36.10
40,4.952260,0.05638908,36.07
41,4.952312,0.05614954,36.09
42,4.952364,0.05590543,36.09
43,4.952146,0.05565174,36.11
44,4.952047,0.05539103,36.09
45,4.952314,0.05512338,36.10
46,4.952035,0.05484886,36.10
47,4.952046,0.05456755,36.09
48,4.952169,0.05427952,36.06
49,4.951828,0.05398486,36.08
50,4.951828,0.05368364,36.09
51,4.951742,0.05337594,36.10
52,4.951699,0.05306185,36.10
53,4.952034,0.05274145,36.10
54,4.951848,0.05241484,36.08
55,4.951684,0.05208210,36.07
56,4.951521,0.05174333,36.08
57,4.951548,0.05139861,36.07
58,4.951560,0.05104804,36.05
59,4.951574,0.05069171,36.08
60,4.951533,0.05032973,36.09
61,4.951423,0.04996219,36.07
62,4.951754,0.04959307,36.07
63,4.951420,0.04921477,36.08
